2026-07-21 20:21:20 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:21:20 | INFO    | app.routers.stats | 点击统计 dashenlin: date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:21:20 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (10.4ms)
2026-07-21 20:21:20 | INFO    | app.main | GET /api/dashenlin/stats/click -> 200 (15.2ms)
2026-07-21 20:21:20 | INFO    | app.main | GET /api/dbs -> 200 (15.6ms)
2026-07-21 20:21:20 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:21:20 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (6.4ms)
2026-07-21 20:21:20 | INFO    | app.routers.stats | 点击统计 dashenlin: date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:21:20 | INFO    | app.main | GET /api/dashenlin/stats/click -> 200 (5.8ms)
2026-07-21 20:21:24 | INFO    | app.main | POST /api/log/frontend -> 200 (8.2ms)
2026-07-21 20:21:27 | INFO    | app.main | GET /api/dbs -> 200 (3.2ms)
2026-07-21 20:21:32 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=5 date=[None,None] codes=- cities=- provinces=- -> total=4
2026-07-21 20:21:32 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (6.1ms)
2026-07-21 20:22:15 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:22:15 | INFO    | app.routers.stats | 点击统计 dashenlin: date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:22:15 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (10.3ms)
2026-07-21 20:22:15 | INFO    | app.main | GET /api/dashenlin/stats/click -> 200 (14.4ms)
2026-07-21 20:22:15 | INFO    | app.main | GET /api/dbs -> 200 (14.8ms)
2026-07-21 20:22:15 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:22:15 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (5.5ms)
2026-07-21 20:22:15 | INFO    | app.routers.stats | 点击统计 dashenlin: date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:22:15 | INFO    | app.main | GET /api/dashenlin/stats/click -> 200 (4.6ms)
2026-07-21 20:22:17 | INFO    | app.main | POST /api/log/frontend -> 200 (5.3ms)
2026-07-21 20:22:17 | INFO    | app.routers.stats | 点击统计 dashenlin: date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:22:17 | INFO    | app.main | GET /api/dashenlin/stats/click -> 200 (9.5ms)
2026-07-21 20:22:17 | INFO    | app.routers.rows | 查询 dashenlin rows: page=1 size=20 date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
2026-07-21 20:22:17 | INFO    | app.main | GET /api/dbs -> 200 (11.1ms)
2026-07-21 20:22:17 | INFO    | app.main | GET /api/dashenlin/rows -> 200 (14.6ms)
2026-07-21 20:22:17 | INFO    | app.routers.stats | 点击统计 dashenlin: date=[2026-07-01,2026-07-21] codes=- cities=- provinces=- -> total=0
